,GAME_DATE_EST,game_id,home_team,away_team,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,book_name_over,book_id_over,total1_over,over_odds,PTS_comb_actual,book_name_under,book_id_under,total1_under,under_odds,point_average_last10,point_against_average_last10,away_point_average_last10,away_point_against_average_last10,over_successful,under_successful
363,12/21/2017,21700466,1610612739,1610612741,2017,115,0.512,0.864,0.414,25,35,112,0.553,0.75,0.387,34,35,1,5Dimes,19,216.0,-105,227,Pinnacle Sports,238,216.0,-103,111.85,103.4,102.1,108.15,1,0
364,12/21/2017,21700469,1610612756,1610612763,2017,97,0.407,0.778,0.385,21,44,95,0.433,0.75,0.192,15,50,1,Pinnacle Sports,238,202.5,-106,192,5Dimes,19,203.0,-105,105.45,111.85,94.15,101.95,0,1
365,12/21/2017,21700470,1610612762,1610612759,2017,100,0.459,0.833,0.462,18,41,89,0.436,0.688,0.476,14,38,1,Pinnacle Sports,238,195.0,-102,189,Bovada,999996,195.0,-105,103.35,100.35,101.65,96.6,0,1
366,12/21/2017,21700467,1610612755,1610612761,2017,109,0.523,0.714,0.31,27,40,114,0.412,0.914,0.343,18,45,0,Pinnacle Sports,238,217.5,-102,223,Heritage,169,217.5,-105,108.7,108.85,113.35,103.35,1,0
367,12/21/2017,21700468,1610612752,1610612738,2017,102,0.456,0.846,0.571,13,49,93,0.384,0.737,0.342,17,35,1,Heritage,169,203.5,-105,195,Pinnacle Sports,238,203.5,-100,102.7,103.45,104.25,101.25,0,1
368,12/22/2017,21700479,1610612744,1610612747,2017,113,0.494,0.815,0.292,24,42,106,0.426,0.682,0.379,22,46,1,Bookmaker,93,215.5,-110,219,Bovada,999996,217.0,-105,115.3,102.9,109.75,110.0,1,0
369,12/22/2017,21700478,1610612757,1610612743,2017,85,0.422,0.563,0.273,15,34,102,0.494,0.733,0.28,19,49,0,Pinnacle Sports,238,203.5,102,187,5Dimes,19,203.0,-105,101.05,101.05,109.15,108.15,0,1
370,12/22/2017,21700471,1610612765,1610612752,2017,104,0.432,0.72,0.4,19,44,101,0.454,0.833,0.333,25,51,1,Heritage,169,202.0,-105,205,Pinnacle Sports,238,202.0,-102,102.35,102.55,102.5,103.05,1,0
371,12/22/2017,21700477,1610612760,1610612737,2017,120,0.537,0.613,0.52,24,40,117,0.518,0.824,0.469,28,27,1,Pinnacle Sports,238,203.0,-103,237,5Dimes,19,204.0,-106,100.95,100.35,102.65,109.0,1,0
372,12/22/2017,21700476,1610612749,1610612766,2017,109,0.471,0.826,0.276,27,43,104,0.443,0.824,0.462,21,43,1,Heritage,169,208.0,-105,213,5Dimes,19,209.0,-103,105.45,104.65,103.2,108.2,1,0
373,12/22/2017,21700474,1610612748,1610612742,2017,113,0.639,0.833,0.64,25,35,101,0.507,0.727,0.486,28,22,1,5Dimes,19,195.5,-102,214,Heritage,169,195.5,-105,99.45,102.0,100.9,100.05,1,0
374,12/22/2017,21700473,1610612751,1610612764,2017,119,0.5,0.81,0.341,29,60,84,0.366,0.733,0.25,22,35,1,5Dimes,19,215.0,-105,203,Heritage,169,215.5,-105,103.65,106.85,102.85,100.4,0,1
