GAME_DATE_EST,game_id,home_team,away_team,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,book_name_over,book_id_over,total1_over,over_odds,PTS_comb_actual,book_name_under,book_id_under,total1_under,under_odds,point_average_last10,point_againts_average_last10,away_point_average_last10,away_point_againts_average_last10
2017-11-07,21700149,1610612739,1610612749,2017,124.0,0.5,0.868,0.5,18.0,39.0,119.0,0.5660000000000001,0.75,0.433,29.0,36.0,1,Bookmaker,93,221.5,100.0,243.0,Heritage,169,222.0,-105.0,106.19444444444446,110.88888888888889,102.91666666666666,107.10714285714286
2017-11-07,21700154,1610612759,1610612746,2017,120.0,0.536,0.789,0.536,33.0,39.0,107.0,0.512,0.706,0.3670000000000001,20.0,39.0,1,BetOnline,1096,204.0,-106.0,227.0,Pinnacle Sports,238,204.5,-101.0,101.95535714285714,99.92857142857144,106.43,106.36
2017-11-08,21700161,1610612738,1610612747,2017,107.0,0.388,0.774,0.241,20.0,48.0,96.0,0.435,0.7390000000000001,0.208,16.0,48.0,1,5Dimes,19,215.0,-103.0,203.0,Pinnacle Sports,238,215.0,-105.0,104.61111111111111,94.25,102.1,108.25555555555556
2017-11-08,21700160,1610612753,1610612752,2017,112.0,0.5379999999999999,0.591,0.464,31.0,29.0,99.0,0.525,0.769,0.417,26.0,42.0,1,5Dimes,19,215.0,-103.0,211.0,Heritage,169,215.0,-105.0,105.25,102.75,100.9,107.55
2017-11-08,21700159,1610612765,1610612754,2017,114.0,0.518,0.64,0.444,25.0,50.0,97.0,0.4320000000000001,0.778,0.292,22.0,38.0,1,Pinnacle Sports,238,209.5,-105.0,211.0,Bovada,999996,210.0,-105.0,104.25892857142856,102.21428571428572,108.82222222222222,107.45555555555556
2017-11-08,21700163,1610612744,1610612750,2017,125.0,0.565,0.778,0.417,37.0,45.0,101.0,0.413,0.741,0.208,21.0,41.0,1,Pinnacle Sports,238,227.0,-101.0,226.0,Bovada,999996,228.0,-110.0,117.89285714285714,108.50892857142856,109.5,110.5
2017-11-08,21700162,1610612756,1610612748,2017,115.0,0.455,0.767,0.414,20.0,34.0,126.0,0.531,0.8,0.4,21.0,53.0,0,5Dimes,19,217.0,-102.0,241.0,Pinnacle Sports,238,217.0,-105.0,104.78571428571428,114.55357142857144,99.75396825396824,104.27777777777776
2017-11-09,21700164,1610612764,1610612747,2017,111.0,0.518,0.9,0.333,20.0,45.0,95.0,0.36,0.732,0.13,17.0,46.0,1,5Dimes,19,224.0,-103.0,206.0,Heritage,169,224.5,-105.0,110.35714285714286,107.85714285714286,104.0,106.5
2017-11-09,21700165,1610612761,1610612740,2017,122.0,0.459,0.696,0.381,27.0,48.0,118.0,0.537,0.68,0.419,31.0,38.0,1,5Dimes,19,215.0,-103.0,240.0,Pinnacle Sports,238,215.0,-100.0,110.25,103.61111111111111,106.35,109.05
2017-11-09,21700166,1610612745,1610612739,2017,117.0,0.468,0.8059999999999999,0.348,21.0,45.0,113.0,0.556,0.7859999999999999,0.444,24.0,26.0,1,Pinnacle Sports,238,228.5,-100.0,230.0,5Dimes,19,228.5,-103.0,108.3,102.15,107.28333333333332,111.26666666666668
2017-11-09,21700167,1610612758,1610612755,2017,109.0,0.43,0.607,0.444,29.0,45.0,108.0,0.425,0.7040000000000001,0.405,23.0,56.0,1,Pinnacle Sports,238,208.0,-100.0,217.0,Heritage,169,208.0,-105.0,93.16666666666666,102.26666666666668,107.41071428571428,107.61607142857144
2017-11-09,21700168,1610612743,1610612760,2017,102.0,0.463,0.773,0.333,27.0,45.0,94.0,0.422,0.5,0.3670000000000001,16.0,44.0,1,Heritage,169,215.5,-105.0,196.0,Pinnacle Sports,238,215.5,-103.0,106.0873015873016,105.76190476190476,101.72619047619048,96.25
2017-11-10,21700169,1610612765,1610612737,2017,111.0,0.438,0.778,0.4,23.0,51.0,104.0,0.494,0.727,0.333,28.0,45.0,1,5Dimes,19,209.5,-103.0,215.0,Pinnacle Sports,238,209.5,-100.0,104.73809523809524,102.21428571428572,101.06666666666666,107.06666666666666
2017-11-10,21700173,1610612759,1610612749,2017,87.0,0.425,0.909,0.31,23.0,43.0,94.0,0.461,0.5,0.278,27.0,47.0,0,Pinnacle Sports,238,204.5,102.0,181.0,5Dimes,19,204.0,-103.0,102.69841269841272,100.31746031746032,103.71428571428572,108.14285714285714
2017-11-10,21700171,1610612741,1610612754,2017,87.0,0.398,0.667,0.259,24.0,43.0,105.0,0.512,0.583,0.414,27.0,51.0,0,Pinnacle Sports,238,202.0,102.0,192.0,Bovada,999996,202.0,-105.0,96.58928571428572,103.78571428571428,108.25,107.8
2017-11-10,21700170,1610612738,1610612766,2017,90.0,0.357,0.84,0.29,15.0,49.0,87.0,0.388,0.5760000000000001,0.273,20.0,47.0,1,Pinnacle Sports,238,204.0,-103.0,177.0,Heritage,169,204.5,-105.0,104.65873015873017,94.5,104.53968253968254,104.93650793650794
2017-11-10,21700174,1610612756,1610612753,2017,112.0,0.468,0.76,0.208,13.0,40.0,128.0,0.524,0.674,0.464,29.0,44.0,0,5Dimes,19,227.0,-103.0,240.0,Heritage,169,227.5,-105.0,105.5625,115.375,105.65972222222224,102.56944444444444
2017-11-10,21700176,1610612757,1610612751,2017,97.0,0.421,0.818,0.348,17.0,51.0,101.0,0.429,0.579,0.316,25.0,49.0,0,5Dimes,19,218.5,-107.0,198.0,Pinnacle Sports,238,218.5,100.0,108.78571428571428,100.67460317460316,112.09821428571428,112.76785714285714
2017-11-10,21700172,1610612760,1610612746,2017,120.0,0.513,0.725,0.423,23.0,40.0,111.0,0.464,0.7,0.4,13.0,46.0,1,5Dimes,19,210.0,-103.0,231.0,Pinnacle Sports,238,209.5,102.0,101.39583333333334,96.75,106.44117647058825,106.48529411764706
